Date,Đóng cửa,Log-return 
8/24/2023,25.1967,0.17716
8/25/2023,24.8845,-1.24679
8/28/2023,25.1521,1.06963
8/29/2023,24.9737,-0.71181
8/30/2023,24.9737,0.00000
8/31/2023,24.8845,-0.35782
9/5/2023,25.9548,4.21114
9/6/2023,25.8656,-0.34427
9/7/2023,25.5535,-1.21396
9/8/2023,25.8210,1.04138
9/11/2023,25.7318,-0.34605
9/12/2023,25.6872,-0.17348
9/13/2023,24.9737,-2.81695
9/14/2023,25.3305,1.41859
9/15/2023,25.3305,0.00000
9/18/2023,24.6169,-2.85760
9/19/2023,24.3940,-0.90960
9/20/2023,24.5723,0.72826
9/21/2023,24.2602,-1.27826
9/22/2023,24.0818,-0.73808
9/25/2023,22.4317,-7.09812
9/26/2023,22.9669,2.35789
9/27/2023,23.5912,2.68197
9/28/2023,23.3683,-0.94934
9/29/2023,23.5466,0.76010
10/2/2023,23.1899,-1.52646
10/3/2023,23.1899,0.00000
10/4/2023,23.3683,0.76636
10/5/2023,23.0561,-1.34500
10/6/2023,23.1899,0.57865
10/9/2023,23.0115,-0.77227
10/10/2023,23.0115,0.00000
10/11/2023,22.7439,-1.16971
10/12/2023,23.2521,2.20985
10/13/2023,23.2521,0.00000
10/16/2023,23.0068,-1.06056
10/17/2023,22.5653,-1.93765
10/18/2023,22.0257,-2.42034
10/19/2023,21.5842,-2.02484
10/20/2023,21.9276,1.57846
10/23/2023,21.5351,-1.80620
10/24/2023,21.3880,-0.68541
10/25/2023,21.4861,0.45762
10/26/2023,20.0144,-7.09542
10/27/2023,20.2597,1.21817
10/30/2023,19.9654,-1.46329
10/31/2023,19.9163,-0.24623
11/1/2023,20.2107,1.46737
11/2/2023,21.1427,4.50825
11/3/2023,20.9955,-0.69866
11/6/2023,21.4370,2.08103
11/7/2023,21.1918,-1.15041
11/8/2023,21.3880,0.92157
11/9/2023,21.5842,0.91315
11/10/2023,21.4370,-0.68432
11/13/2023,20.9955,-2.08103
11/14/2023,20.7993,-0.93888
11/15/2023,21.3389,2.56124
11/16/2023,21.1918,-0.69174
11/17/2023,21.0937,-0.46399
11/20/2023,20.7993,-1.40551
11/21/2023,21.0937,1.40551
11/22/2023,21.0937,0.00000
11/23/2023,20.7012,-1.87827
11/24/2023,20.9465,1.17799
11/27/2023,20.7012,-1.17799
11/28/2023,20.8484,0.70855
11/29/2023,20.8974,0.23475
11/30/2023,20.8484,-0.23475
12/1/2023,20.7993,-0.23579
12/4/2023,21.0446,1.17247
12/5/2023,20.9465,-0.46724
12/6/2023,20.8974,-0.23468
12/7/2023,20.6031,-1.41832
12/8/2023,20.7993,0.94778
12/11/2023,20.7503,-0.23586
12/12/2023,20.7993,0.23586
12/13/2023,20.7012,-0.47277
12/14/2023,20.5050,-0.95229
12/15/2023,20.4069,-0.47957
12/18/2023,20.4069,0.00000
12/19/2023,20.5050,0.47957
12/20/2023,20.6031,0.47728
12/21/2023,20.7503,0.71192
12/22/2023,20.7012,-0.23690
12/25/2023,20.7503,0.23690
12/26/2023,20.8974,0.70640
12/27/2023,20.8974,0.00000
12/28/2023,20.8974,0.00000
12/29/2023,20.9465,0.23468
1/2/2024,20.8484,-0.46944
1/3/2024,20.9955,0.70309
1/4/2024,20.9465,-0.23366
1/5/2024,21.2899,1.62612
1/8/2024,21.2408,-0.23089
1/9/2024,21.2408,0.00000
1/10/2024,21.8785,2.95806
1/11/2024,21.6823,-0.90082
1/12/2024,21.3880,-1.36662
1/15/2024,21.4370,0.22884
1/16/2024,21.3389,-0.45867
1/17/2024,21.3389,0.00000
1/18/2024,21.3880,0.22983
1/19/2024,21.5842,0.91315
1/22/2024,21.6333,0.22722
1/23/2024,21.4861,-0.68276
1/24/2024,21.2408,-1.14824
1/25/2024,21.1427,-0.46292
1/26/2024,21.3389,0.92370
1/29/2024,21.3880,0.22983
1/30/2024,21.3880,0.00000
1/31/2024,21.2899,-0.45972
2/1/2024,21.5351,1.14514
2/2/2024,21.4370,-0.45658
2/5/2024,21.6333,0.91154
2/6/2024,21.5842,-0.22722
2/7/2024,21.7804,0.90489
2/15/2024,21.8295,0.22518
2/16/2024,22.2219,1.78160
2/19/2024,22.6144,1.75086
2/20/2024,22.2710,-1.53015
2/21/2024,22.5653,1.31279
2/22/2024,22.4672,-0.43569
2/23/2024,22.1238,-1.54025
2/26/2024,22.1729,0.22169
2/27/2024,22.5653,1.75425
2/28/2024,22.7615,0.86572
2/29/2024,22.5653,-0.86572
3/1/2024,22.7125,0.65021
3/4/2024,22.9087,0.86013
3/5/2024,23.0068,0.42731
3/6/2024,22.6634,-1.50385
3/7/2024,22.9577,1.29021
3/8/2024,22.9577,0.00000
3/11/2024,22.7125,-1.07380
3/12/2024,22.7125,0.00000
3/13/2024,22.7615,0.21551
3/14/2024,23.3502,2.55350
3/15/2024,23.9879,2.69440
3/18/2024,23.3502,-2.69440
3/19/2024,22.9577,-1.69522
3/20/2024,23.2521,1.27421
3/21/2024,23.3992,0.63064
3/22/2024,23.7426,1.45691
3/25/2024,23.8407,0.41233
3/26/2024,24.0860,1.02366
3/27/2024,24.2822,0.81128
3/28/2024,24.1351,-0.60764
3/29/2024,24.1351,0.00000
4/1/2024,23.9879,-0.61177
4/2/2024,24.1351,0.61177
4/3/2024,23.9388,-0.81666
4/4/2024,23.7917,-0.61638
4/5/2024,23.3992,-1.66349
4/8/2024,23.1049,-1.26571
4/9/2024,23.3011,0.84559
4/10/2024,23.1049,-0.84559
4/11/2024,23.1049,0.00000
4/12/2024,23.2030,0.42369
4/15/2024,22.3691,-3.66010
4/16/2024,21.9766,-1.77023
4/17/2024,22.1729,0.88926
4/19/2024,22.4181,1.09978
4/22/2024,22.4672,0.21878
4/23/2024,22.5653,0.43569
4/24/2024,22.7125,0.65021
4/25/2024,22.5653,-0.65021
4/26/2024,22.5653,0.00000
5/2/2024,22.5653,0.00000
5/3/2024,22.5653,0.00000
